ID	Name_submitted	Family	Genus	Specific_epithet	Infraspecific_rank	Infraspecific_epithet	Infraspecific_rank_2	Infraspecific_epithet_2	Author	Annotations	Unmatched_terms
0	"'1|Arecaceae Mauritia'"	Arecaceae	Mauritia								"'1| '"
1	"'2|Solanaceae Solanum cf. bipatens Dunal'"	Solanaceae	Solanum	bipatens					Dunal'	cf.	'2|
2	"'3|HYPOPTERYGIACEAE Hypopterygium incrassatolimbatum MÃ¼ll. Hal.'"	Hypopterygiaceae	Hypopterygium	incrassatolimbatum					"MÃ¼ll. Hal.'"		'3|
3	"'4|Helotiaceae Diplothrix juniperifolia'"	Helotiaceae	Diplothrix	juniperifolia							"'4|  '"
4	"'5|Asteraceae Hieracium billyanum var. parvulum B. de Retz'"	Asteraceae	Hieracium	billyanum	var.	parvulum			"B. de Retz'"		'5|
5	"'6|Melastomataceae Leandra schenckii'"	Melastomataceae	Leandra	schenckii							"'6|  '"
6	"'7|Asteraceae Hieracium billyanum var. parvulum fo. album B. de Retz'"	Asteraceae	Hieracium	billyanum	var.	parvulum	fo.	album	"B. de Retz'"		'7|
7	"'8|Campyliaceae Warnstorfia trichophylla (Warnst. ) Tuom. & T. J. Kop.'"	Campyliaceae	Warnstorfia	trichophylla					"(Warnst. ) Tuom. & T. J. Kop.'"		'8|
8	"'9|Piper arboreum Aubl.'"		Piper	arboreum					Aubl.'		'9|
9	"'10|Poaceae Pseudochaetochloa aff. australiensis'"	Poaceae	Pseudochaetochloa	australiensis						aff.	"'10|  '"
