ID	Name_submitted	Overall_score	Name_matched_id	Name_matched	Name_score	Name_matched_rank	Author_submitted	Author_matched	Author_score	Canonical_author	Name_matched_accepted_family	Genus_submitted	Genus_matched	Genus_score	Specific_epithet_submitted	Specific_epithet_matched	Specific_epithet_score	Family_submitted	Family_matched	Family_score	Infraspecific_rank	Infraspecific_epithet_matched	Infraspecific_epithet_score	Infraspecific_rank_2	Infraspecific_epithet_2_matched	Infraspecific_epithet_2_score	Annotations	Unmatched_terms	Name_matched_url	Name_matched_lsid	Phonetic	Taxonomic_status	Accepted_name	Accepted_species	Accepted_name_author	Accepted_name_id	Accepted_name_rank	Accepted_name_url	Accepted_name_lsid	Accepted_family	Overall_score_order	Highertaxa_score_order	Source	Warnings
1	"'Arecaceae Mauritia'"	1	661369	Mauritia	1	genus				"L. f."	Arecaceae	Mauritia	Mauritia	1				Arecaceae	Arecaceae	1								'	http://www.tropicos.org/Name/40015082		Y	Accepted	Mauritia		"L. f."	661369	genus	http://www.tropicos.org/Name/40015082		Arecaceae	1	1	tropicos	0
2	"'Solanaceae Solanum cf. bipatens Dunal'"	1	511364	"Solanum bipatens"	1	species	Dunal	Dunal	1	Dunal	Solanaceae	Solanum	Solanum	1	bipatens	bipatens	1	Solanaceae	Solanaceae	1							cf.	'	http://www.tropicos.org/Name/29601231		Y	"No opinion"									1	1	tropicos	0
3	"'HYPOPTERYGIACEAE Hypopterygium incrassatolimbatum MÃ¼ll. Hal.'"	0.95234	567775	"Hypopterygium incrassatolimbatum"	1	species	"MÃ¼ll. Hal."	"Müll. Hal."	0.7617	"Müll. Hal."	Hypopterygiaceae	Hypopterygium	Hypopterygium	1	incrassatolimbatum	incrassatolimbatum	1	Hypopterygiaceae	Hypopterygiaceae	1								'	http://www.tropicos.org/Name/35129557		Y	Synonym	"Hypopterygium tamarisci"	"Hypopterygium tamarisci"	"(Sw.) Brid. ex Müll. Hal."	567887	species	http://www.tropicos.org/Name/35129670		Hypopterygiaceae	1	1	tropicos	0
4	"'Helotiaceae Diplothrix juniperifolia'"	0.59957384396743	55516	"Diplothrix juniperifolia"	0.59957384396743	species				DC.	Asteraceae	Diplothrix	Diplothrix	1	juniperifolia	juniperifolia	1	Helotiaceae										'Helotiaceae	http://www.tropicos.org/Name/2705463		Y	Synonym	"Zinnia juniperifolia"	"Zinnia juniperifolia"	"(DC.) A. Gray"	91460	species	http://www.tropicos.org/Name/2743155		Asteraceae	1	7	tropicos	4
5	"'Asteraceae Hieracium billyanum var. parvulum B. de Retz'"	0.77149326622765	1786241	"Hieracium billyanum"	0.77149326622765	species	"B. de Retz"			"de Retz"	Asteraceae	Hieracium	Hieracium	1	billyanum	billyanum	1	Asteraceae	Asteraceae	1								"'var. parvulum"	http://www.theplantlist.org/tpl1.1/search?q=Hieracium+billyanum		Y	Synonym	"Pilosella billyana"	"Pilosella billyana"	"(de Retz) Mateo"	1663830	species	http://www.theplantlist.org/tpl1.1/search?q=Pilosella+billyana		Asteraceae	1	1	tpl	1
6	"'Melastomataceae Leandra schenckii'"	1	305732	"Leandra schenckii"	1	species				Cogn.	Melastomataceae	Leandra	Leandra	1	schenckii	schenckii	1	Melastomataceae	Melastomataceae	1								'	http://www.theplantlist.org/tpl1.1/search?q=Leandra+schenckii		Y	Synonym	"Leandra regnellii"	"Leandra regnellii"	"(Triana) Cogn."	305723	species	http://www.theplantlist.org/tpl1.1/search?q=Leandra+regnellii		Melastomataceae	1	1	tpl	0
7	"'Asteraceae Hieracium billyanum var. parvulum fo. album B. de Retz'"	0.52209313000251	1786241	"Hieracium billyanum"	0.52209313000251	species	"B. de Retz"			"de Retz"	Asteraceae	Hieracium	Hieracium	1	billyanum	billyanum	1	Asteraceae	Asteraceae	1								"'var. parvulum fo. album"	http://www.theplantlist.org/tpl1.1/search?q=Hieracium+billyanum		Y	Synonym	"Pilosella billyana"	"Pilosella billyana"	"(de Retz) Mateo"	1663830	species	http://www.theplantlist.org/tpl1.1/search?q=Pilosella+billyana		Asteraceae	1	1	tpl	1
8	"'Campyliaceae Warnstorfia trichophylla (Warnst. ) Tuom. & T. J. Kop.'"	0.67965907517394	540191	"Warnstorfia trichophylla"	0.59957384396743	species	"(Warnst. ) Tuom. & T. J. Kop."	"(Warnst.) Tuom. & T.J. Kop."	1	"(Warnst.) Tuom. & T.J. Kop."	Amblystegiaceae	Warnstorfia	Warnstorfia	1	trichophylla	trichophylla	1	Campyliaceae										'Campyliaceae	http://www.theplantlist.org/tpl1.1/search?q=Warnstorfia+trichophylla		Y	Accepted	"Warnstorfia trichophylla"	"Warnstorfia trichophylla"	"(Warnst.) Tuom. & T.J. Kop."	540191	species	http://www.theplantlist.org/tpl1.1/search?q=Warnstorfia+trichophylla		Amblystegiaceae	1	3	tpl	4
9	"'Piper arboreum Aubl.'"	1	363887	"Piper arboreum"	1	species	Aubl.	Aubl.	1	Aubl.	Piperaceae	Piper	Piper	1	arboreum	arboreum	1											'	http://www.tropicos.org/Name/25002004		Y	Accepted	"Piper arboreum"	"Piper arboreum"	Aubl.	363887	species	http://www.tropicos.org/Name/25002004		Piperaceae	1	1	tropicos	0
10	"'Poaceae Pseudochaetochloa aff. australiensis'"	1	387911	"Pseudochaetochloa australiensis"	1	species				Hitchc.	Poaceae	Pseudochaetochloa	Pseudochaetochloa	1	australiensis	australiensis	1	Poaceae	Poaceae	1							aff.	'	http://www.tropicos.org/Name/25520644		Y	Accepted	"Pseudochaetochloa australiensis"	"Pseudochaetochloa australiensis"	Hitchc.	387911	species	http://www.tropicos.org/Name/25520644		Poaceae	1	1	tropicos	0
