ID	Name_submitted	Overall_score	Name_matched_id	Name_matched	Name_score	Name_matched_rank	Author_submitted	Author_matched	Author_score	Canonical_author	Name_matched_accepted_family	Genus_submitted	Genus_matched	Genus_score	Specific_epithet_submitted	Specific_epithet_matched	Specific_epithet_score	Family_submitted	Family_matched	Family_score	Infraspecific_rank	Infraspecific_epithet_matched	Infraspecific_epithet_score	Infraspecific_rank_2	Infraspecific_epithet_2_matched	Infraspecific_epithet_2_score	Annotations	Unmatched_terms	Name_matched_url	Name_matched_lsid	Phonetic	Taxonomic_status	Accepted_name	Accepted_species	Accepted_name_author	Accepted_name_id	Accepted_name_rank	Accepted_name_url	Accepted_name_lsid	Accepted_family	Overall_score_order	Highertaxa_score_order	Source	Warnings
1	"'Arecaceae Mauritia'"	Arecaceae	Mauritia								'
2	"'Solanaceae Solanum bipatens Dunal'"	Solanaceae	Solanum	bipatens					Dunal		'
3	"'HYPOPTERYGIACEAE Hypopterygium incrassatolimbatum MÃ¼ll. Hal.'"	Hypopterygiaceae	Hypopterygium	incrassatolimbatum					"MÃ¼ll. Hal."		'
4	"'Helotiaceae Diplothrix juniperifolia'"	Helotiaceae	Diplothrix	juniperifolia							'
5	"'Arecaceae Leopoldinia pulchra Mart.'"	Arecaceae	Leopoldinia	pulchra					Mart.		'
6	"'Melastomataceae Leandra schenckii'"	Melastomataceae	Leandra	schenckii							'
7	"'Hydnocarpus macrocarpa'"		Hydnocarpus	macrocarpa							'
8	"'Campyliaceae Warnstorfia trichophylla (Warnst. ) Tuom. & T. J. Kop.'"	Campyliaceae	Warnstorfia	trichophylla					"(Warnst. ) Tuom. & T. J. Kop."		'
9	"'Piper arboreum Aubl.'"		Piper	arboreum					Aubl.		'
10	"'Poaceae Pseudochaetochloa australiensis Hitchc.'"	Poaceae	Pseudochaetochloa	australiensis					Hitchc.		'
11	"'Juglandaceae Engelhardia spicata var. colebrookeana (Lindl. ex Wall. ) Koord. & Valeton'"	Juglandaceae	Engelhardia	spicata	var.	colebrookeana			"(Lindl. ex Wall. ) Koord. & Valeton"		'
12	"'Malvaceae Hibiscus '\''Old Yella'\'''"	Malvaceae	Hibiscus								"'  \Old Yella\"
13	"'Fabaceae Mimosa vepres Lindm.'"	Fabaceae	Mimosa	vepres					Lindm.		'
14	"'Berberidaceae Epimedium xpurpureum Bailly'"	Berberidaceae	Epimedium	xpurpureum					Bailly		'
15	"'Asteraceae Senecio beguei Humbert'"	Asteraceae	Senecio	beguei					Humbert		'
16	"'Coelogyne fragrans'"		Coelogyne	fragrans							'
17	"'Cyperaceae Rhynchospora cephalotes (L. ) Vahl'"	Cyperaceae	Rhynchospora	cephalotes					"(L. ) Vahl"		'
18	"'Pteridophyte Nephrolepis mollis Rosenst.'"		Pteridophyte						Nephrolepis		"'  mollis Rosenst."
19	"'Piperaceae Piper crassipeduncullum'"	Piperaceae	Piper	crassipeduncullum							'
20	"'Asteraceae Hieracium billyanum var. parvulum B. de Retz'"	Asteraceae	Hieracium	billyanum	var.	parvulum			"B. de Retz"		'
21	"'Asteraceae Bartlettina macrocephala (Benth. ) R. King & H. Rob.'"	Asteraceae	Bartlettina	macrocephala					"(Benth. ) R. King & H. Rob."		'
22	"'Aspleniaceae Asplenium umbrosum Schrad.'"	Aspleniaceae	Asplenium	umbrosum					Schrad.		'
23	"'Poaceae Alopecurus colobachnoides Trin.'"	Poaceae	Alopecurus	colobachnoides					Trin.		'
24	"'Cyperaceae Carex wrightii Dewey'"	Cyperaceae	Carex	wrightii					Dewey		'
25	"'Piperaceae Peperomia tetragona'"	Piperaceae	Peperomia	tetragona							'
26	"'Tulipa pulchella'"		Tulipa	pulchella							'
27	"'Cyperaceae Carex divisa subsp. ammophila (Willd. ) C. Vicioso'"	Cyperaceae	Carex	divisa	subsp.	ammophila			"(Willd. ) C. Vicioso"		'
28	"'Bignoniaceae Jacaranda heteroptila Bureau & K. Schum.'"	Bignoniaceae	Jacaranda	heteroptila					"Bureau & K. Schum."		'
29	"'Aquifoliaceae Ilex fruticosa S. Andrews'"	Aquifoliaceae	Ilex	fruticosa					"S. Andrews"		'
30	"'Fabaceae Calliandra nitida S. Watson'"	Fabaceae	Calliandra	nitida					"S. Watson"		'
31	"'Lejeuneaceae Aureolejeunea aurifera R. M. Schust.'"	Lejeuneaceae	Aureolejeunea	aurifera					"R. M. Schust."		'
32	"'Euphorbiaceae Chondrostylis bancana Boerl.'"	Euphorbiaceae	Chondrostylis	bancana					Boerl.		'
33	"'Brachytheciaceae Eurhynchium afrostrigosum (Müll. Hal. ) Paris'"	Brachytheciaceae	Eurhynchium	afrostrigosum					"(Müll. Hal. ) Paris"		'
34	"'Poaceae Ottochloa arnottiana (Steud. ) Dandy'"	Poaceae	Ottochloa	arnottiana					"(Steud. ) Dandy"		'
35	"'Proteaceae Banksia menziesii R. Br.'"	Proteaceae	Banksia	menziesii					"R. Br."		'
36	"'Primulaceae Geissanthus scrobiculatus (Cuatrec. ) Pipoly'"	Primulaceae	Geissanthus	scrobiculatus					"(Cuatrec. ) Pipoly"		'
37	"'LECYTHIDACEAE Couratari fagifolia'"	Lecythidaceae	Couratari	fagifolia							'
38	"'Geraniaceae Erodium moranense Willd. ex Kunth'"	Geraniaceae	Erodium	moranense					"Willd. ex Kunth"		'
39	"'Gentianaceae Fagraea sair Gilg & Gilg-Ben.'"	Gentianaceae	Fagraea	sair					"Gilg & Gilg-Ben."		'
40	"'Chrysobalanaceae Parinari alvinii'"	Chrysobalanaceae	Parinari	alvinii							'
41	"'Poaceae Eragrostis coarctata Stapf'"	Poaceae	Eragrostis	coarctata					Stapf		'
42	"'Iridaceae Neomarica variegata'"	Iridaceae	Neomarica	variegata							'
43	"'Loasaceae Nasa poissoniana (Urb. & Gilg) Weigend'"	Loasaceae	Nasa	poissoniana					"(Urb. & Gilg) Weigend"		'
44	"'Orchidaceae Flickingeria convexa (Blume) A. D. Hawkes'"	Orchidaceae	Flickingeria	convexa					"(Blume) A. D. Hawkes"		'
45	"'Hamamelidaceae Parrotia persica (DC. ) C. A. Meyer ‘Pendula’'"	Hamamelidaceae	Parrotia	persica					"(DC. ) C. A. Meyer"		"'    ‘Pendula’"
46	"'Ranunculaceae Ranunculus crenifolius (Julin) Ericsson'"	Ranunculaceae	Ranunculus	crenifolius					"(Julin) Ericsson"		'
47	"'Euphorbiaceae Julocroton abutiloides S. Moore'"	Euphorbiaceae	Julocroton	abutiloides					"S. Moore"		'
48	"'Ditrichaceae Ceratodon purpureus var. purpureus'"	Ditrichaceae	Ceratodon	purpureus	var.	purpureus					'
49	"'Sapindaceae Talisia clathrata Radlk subsp. clathrata'"	Sapindaceae	Talisia	clathrata	subsp.	clathrata					'
50	"'Podostemaceae Rhyncholacis linearis Tul.'"	Podostemaceae	Rhyncholacis	linearis					Tul.		'
51	"'Scrophulariaceae Veronicastrum virginicum (L. ) Farw. '\''Spring Dew'\'''"	Scrophulariaceae	Veronicastrum	virginicum					"(L. ) Farw."		"'    \Spring Dew\"
52	"'Vochysiaceae Vochysiaceae Qualea grandiflora'"	Vochysiaceae	Qualea	grandiflora							"' Vochysiaceae"
53	"'Pteridophyte Adiantum senae Baker'"		Pteridophyte						Adiantum		"'  senae Baker"
54	"'Rubiaceae Antirhea radiata (Griseb. ) Urb.'"	Rubiaceae	Antirhea	radiata					"(Griseb. ) Urb."		'
55	"'Plagiochilaceae Plagiochila exesa Lindenb. & Gottsche'"	Plagiochilaceae	Plagiochila	exesa					"Lindenb. & Gottsche"		'
56	"'Commelinaceae Tradescantia hirsuticaulis'"	Commelinaceae	Tradescantia	hirsuticaulis							'
57	"'Rubiaceae Gonzalagunia discolor var. danielis J. H. Kirkbr.'"	Rubiaceae	Gonzalagunia	discolor	var.	danielis			"J. H. Kirkbr."		'
58	"'Orchidaceae Epidendrum albopropinquum Hágsater & E. Santiago'"	Orchidaceae	Epidendrum	albopropinquum					"Hágsater & E. Santiago"		'
59	"'Araceae Arisaema smitinandii S. Y. Hu'"	Araceae	Arisaema	smitinandii					"S. Y. Hu"		'
60	"'Celastraceae Kippistia diffusiflora Miers'"	Celastraceae	Kippistia	diffusiflora					Miers		'
61	"'Eugenia ligustrina (Sw. ) Willd.'"		Eugenia	ligustrina					"(Sw. ) Willd."		'
62	"'Emberizidae Dendroica palmarum spp. palmarum'"		Emberizidae						Dendroica		"'  palmarum spp. palmarum"
63	"'Fabaceae-caes Chamaecrista conferta gurgueiana'"	Fabaceae	Chamaecrista	conferta		gurgueiana					'-caes
64	"'Verbenaceae Lantana clarazii Ball'"	Verbenaceae	Lantana	clarazii					Ball		'
65	"'Araucariaceae Brachyphyllum menendezii Herbst'"	Araucariaceae	Brachyphyllum	menendezii					Herbst		'
66	"'Primulaceae Soldanella austriaca'"	Primulaceae	Soldanella	austriaca							'
67	"'rubiaceae ixora heterodoxa'"	Rubiaceae	Ixora	heterodoxa							'
68	"'Asteraceae Heterotheca rutteri'"	Asteraceae	Heterotheca	rutteri							'
69	"'Cactaceae Echinopsis huascha'"	Cactaceae	Echinopsis	huascha							'
70	"'Orchidaceae Habenaria mairei'"	Orchidaceae	Habenaria	mairei							'
71	"'Dumontiaceae Neodilsea Tokida'"	Dumontiaceae	Neodilsea						Tokida		'
72	"'PAPAVERACEAE ARGEMONE INTERMEDIA SWEET'"	Papaveraceae	Argemone	intermedia		sweet					'
73	"'Fabaceae Acacia multipinnata Ducke'"	Fabaceae	Acacia	multipinnata					Ducke		'
74	"'Orchidaceae Isabelia pulchella (Kraenzl. ) Senghas & Teusch.'"	Orchidaceae	Isabelia	pulchella					"(Kraenzl. ) Senghas & Teusch."		'
75	"'Alectryon connatus'"		Alectryon	connatus							'
76	"'Fabaceae-faboideae Stylosanthes cf. guianensis'"	Fabaceae	Stylosanthes	guianensis						cf.	'-faboideae
77	"'Poaceae Eulalia villosa'"	Poaceae	Eulalia	villosa							'
78	"'Rosaceae Rubus xluxatus Sudre'"	Rosaceae	Rubus	xluxatus					Sudre		'
79	"'Violaceae Rinorea scandens Ule'"	Violaceae	Rinorea	scandens					Ule		'
80	"'Asteraceae Hymenolepis dregeana DC.'"	Asteraceae	Hymenolepis	dregeana					DC.		'
81	"'Solanaceae Lycium carinatum S. Watson'"	Solanaceae	Lycium	carinatum					"S. Watson"		'
82	"'Asteraceae Ageratina calaminthaefolia'"	Asteraceae	Ageratina	calaminthaefolia							'
