ID	Name_submitted	Overall_score	Name_matched_id	Name_matched	Name_score	Name_matched_rank	Author_submitted	Author_matched	Author_score	Canonical_author	Name_matched_accepted_family	Genus_submitted	Genus_matched	Genus_score	Specific_epithet_submitted	Specific_epithet_matched	Specific_epithet_score	Family_submitted	Family_matched	Family_score	Infraspecific_rank	Infraspecific_epithet_matched	Infraspecific_epithet_score	Infraspecific_rank_2	Infraspecific_epithet_2_matched	Infraspecific_epithet_2_score	Annotations	Unmatched_terms	Name_matched_url	Name_matched_lsid	Phonetic	Taxonomic_status	Accepted_name	Accepted_species	Accepted_name_author	Accepted_name_id	Accepted_name_rank	Accepted_name_url	Accepted_name_lsid	Accepted_family	Overall_score_order	Highertaxa_score_order	Source	Warnings
1	"'Arecaceae Mauritia'"	1.0413861922097	1633700	Mauritia	1.0413861922097	genus				"L. f."	Arecaceae		Mauritia	1				Arecaceae	Arecaceae	1								'	http://www.tropicos.org/Name/40015082		Y	Accepted	Mauritia		"L. f."	1633700	genus	http://www.tropicos.org/Name/40015082		Arecaceae	1	1	tropicos	0
1	"'Arecaceae Mauritia'"	1.0413861922097	1139545	Mauritia	1.0413861922097	genus					Arecaceae		Mauritia	1				Arecaceae	Arecaceae	1								'	http://www.theplantlist.org/tpl1.1/search?q=Mauritia		Y	Accepted	Mauritia			1139545	genus	http://www.theplantlist.org/tpl1.1/search?q=Mauritia		Arecaceae	2	2	tpl	0
1	"'Arecaceae Mauritia'"	1.0413861922097	1139545	Mauritia	1.0413861922097	genus					Arecaceae		Mauritia	1				Arecaceae	Arecaceae	1								'	http://plants.usda.gov/java/profile?symbol=MAURI		Y	Accepted	Mauritia			1139545	genus	http://plants.usda.gov/java/profile?symbol=MAURI		Arecaceae	3	3	usda	0
1	"'Arecaceae Mauritia'"	1.0413861922097	1139545	Mauritia	1.0413861922097	genus					Arecaceae		Mauritia	1				Arecaceae	Arecaceae	1								'	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=93292		Y	Accepted	Mauritia			1139545	genus	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=93292		Arecaceae	4	4	ncbi	0
2	"'Solanaceae Solanum bipatens Dunal'"	0.9	1655267	Solanaceae	1	family				Juss.	Solanaceae							Solanaceae	Solanaceae	1								"'Solanum bipatens Dunal"	http://www.tropicos.org/Name/42000282		Y	Accepted	Solanaceae		Juss.	1655267	family	http://www.tropicos.org/Name/42000282		Solanaceae	1	1	tropicos	0
2	"'Solanaceae Solanum bipatens Dunal'"	0.9	1148482	Solanaceae	1	family												Solanaceae	Solanaceae	1								"'Solanum bipatens Dunal"	http://www.theplantlist.org/tpl1.1/search?q=Solanaceae		Y	Accepted	Solanaceae			1148482	family	http://www.theplantlist.org/tpl1.1/search?q=Solanaceae			2	2	tpl	0
2	"'Solanaceae Solanum bipatens Dunal'"	0.9	1148482	Solanaceae	1	family												Solanaceae	Solanaceae	1								"'Solanum bipatens Dunal"	http://plants.usda.gov/java/nameSearch		Y	Accepted	Solanaceae			1148482	family	http://plants.usda.gov/java/nameSearch			3	3	usda	0
2	"'Solanaceae Solanum bipatens Dunal'"	0.9	1148482	Solanaceae	1	family												Solanaceae	Solanaceae	1								"'Solanum bipatens Dunal"	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=4070		Y	Accepted	Solanaceae			1148482	family	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=4070			4	4	ncbi	0
2	"'Solanaceae Solanum bipatens Dunal'"	0.76164033994183	1896034	Silenaceae	0.86164033994183	family				Bartl.	Silenaceae							Solanaceae	Silenaceae	0.8								"'Solanum bipatens Dunal"	http://www.tropicos.org/Name/100353256			"No opinion"									5	5	tropicos	0
3	"'HYPOPTERYGIACEAE Hypopterygium incrassatolimbatum MÃ¼ll. Hal.'"	0.9	1578351	Hypopterygiaceae	1	family				Mitt.	Hypopterygiaceae							Hypopterygiaceae	Hypopterygiaceae	1								"'Hypopterygium incrassatolimbatum MÃ¼ll. Hal."	http://www.tropicos.org/Name/35002752		Y	Accepted	Hypopterygiaceae		Mitt.	1578351	family	http://www.tropicos.org/Name/35002752		Hypopterygiaceae	1	1	tropicos	0
